ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-512440,Source2,2,2022-09-08 11:20:39,2022-09-08 12:06:38,33.782635,-117.878822,,,0.0,Slow vehicle lane blocked due to crash on CA-22 Eastbound at I-5 Exits 105 / CA-57 Exit 1D / CA-22 Exits 14.,CA-57 N,Orange,Orange,CA,92868,US,US/Pacific,KSNA,2022-09-08 10:53:00,91.0,91.0,45.0,29.77,10.0,SSW,3.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512441,Source2,1,2022-09-08 09:05:58,2022-09-08 09:35:45,33.864059000000005,-118.046288,,,0.0,Crash on CA-91 Westbound at Exit 20 Carmenita Rd.,Carmenita Rd,Cerritos,Los Angeles,CA,90703,US,US/Pacific,KFUL,2022-09-08 08:53:00,81.0,81.0,65.0,29.77,10.0,ENE,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512442,Source2,3,2022-09-08 11:24:39,2022-09-08 12:08:52,34.004463,-118.063858,,,0.0,HOV lane blocked and #1 lane blocked due to crash on I-605 Southbound at Exit 16 Beverly Blvd.,Beverly Blvd,Whittier,Los Angeles,CA,90601,US,US/Pacific,KEMT,2022-09-08 11:53:00,97.0,97.0,32.0,29.71,10.0,E,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512444,Source2,1,2022-09-08 07:47:56,2022-09-08 08:18:00,36.907799,-121.439201,,,0.0,Crash on CA-25 Northbound at Hudner Ln.,Bolsa Rd,Hollister,San Benito,CA,95023-9313,US,US/Pacific,KCVH,2022-09-08 07:55:00,68.0,68.0,56.0,29.62,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512454,Source2,2,2022-09-08 11:27:57,2022-09-08 12:27:26,36.799473,-121.664207,,,0.0,#2 lane blocked due to crash on US-101 El Camino Real Southbound at Exit 337 CR-G12 San Miguel Canyon Rd.,El Camino Real N,Salinas,Monterey,CA,93907,US,US/Pacific,KSNS,2022-09-08 11:53:00,92.0,92.0,33.0,29.7,10.0,NW,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512458,Source2,3,2022-09-08 11:16:06,2022-09-08 12:00:31,33.778675,-117.876526,,,0.0,Lane blocked due to crash on I-5 Southbound at I-5 Exits 105 / CA-57 Exit 1D / CA-22 Exits 14.,I-5,Santa Ana,Orange,CA,92706,US,US/Pacific,KSNA,2022-09-08 10:53:00,91.0,91.0,45.0,29.77,10.0,SSW,3.0,0.0,Partly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512468,Source2,3,2022-09-08 11:29:16,2022-09-08 12:13:44,34.004463,-118.063858,,,0.0,#1 lane blocked due to crash on I-605 Southbound at Exit 16 Beverly Blvd.,Beverly Blvd,Whittier,Los Angeles,CA,90601,US,US/Pacific,KEMT,2022-09-08 11:53:00,97.0,97.0,32.0,29.71,10.0,E,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512476,Source2,3,2022-09-08 00:10:15,2022-09-08 00:39:11,34.265949,-118.442734,,,0.959999978542328,Entry ramp to I-5 Southbound from CA-118 Westbound closed due to crash. SigAlert issued.,Golden State Fwy N,Pacoima,Los Angeles,CA,91331,US,US/Pacific,KWHP,2022-09-08 08:00:00,81.0,81.0,42.0,28.84,10.0,CALM,0.0,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-512479,Source2,1,2022-09-08 09:10:45,2022-09-08 09:40:14,37.814308,-122.29985,,,0.0,#2 lane blocked due to crash on Frontage Rd Northbound at 14th St.,Frontage Rd,Oakland,Alameda,CA,94607,US,US/Pacific,KOAK,2022-09-08 08:53:00,74.0,74.0,66.0,29.84,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512480,Source2,2,2022-09-08 08:10:22,2022-09-08 09:13:46,37.959778,-122.330688,,,0.0,Crash on I-80 Westbound at Exit 19A El Portal Dr.,I-80 W,San Pablo,Contra Costa,CA,94806,US,US/Pacific,KCCR,2022-09-08 07:53:00,72.0,72.0,66.0,29.77,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512489,Source2,3,2022-09-08 10:13:33,2022-09-08 10:42:50,33.912155,-118.177521,,,0.0,#2 lane blocked due to crash on I-710 Westbound at Exit 11A I-105 Exit 14.,Glenn Anderson Fwy W,Paramount,Los Angeles,CA,90723,US,US/Pacific,KLGB,2022-09-08 09:53:00,82.0,82.0,60.0,29.79,9.0,S,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512490,Source2,2,2022-09-08 09:55:05,2022-09-08 10:41:45,33.942574,-118.097633,,,0.0,Crash on I-5 Southbound at I-605.,I-5,Santa Fe Springs,Los Angeles,CA,90670,US,US/Pacific,KFUL,2022-09-08 09:53:00,86.0,86.0,51.0,29.74,10.0,VAR,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512491,Source2,3,2022-09-08 08:54:29,2022-09-08 09:53:49,34.235015999999995,-118.411674,,,0.0,#1 lane blocked due to crash on I-5 Southbound before Exit 153B Branford St.,Golden State Fwy N,Pacoima,Los Angeles,CA,91331,US,US/Pacific,KWHP,2022-09-08 08:55:00,84.0,84.0,40.0,28.84,10.0,CALM,0.0,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512499,Source2,2,2022-09-08 09:52:19,2022-09-08 10:52:07,32.719299,-117.107315,,,0.0,Lane blocked due to crash on CA-15 Southbound at CA-94 Exit 2.,Federal Blvd,San Diego,San Diego,CA,92102-2520,US,US/Pacific,KSAN,2022-09-08 09:51:00,82.0,82.0,74.0,29.8,4.0,N,7.0,0.0,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512501,Source2,2,2022-09-08 10:18:08,2022-09-08 10:47:05,37.792728,-122.204338,,,0.1299999952316284,Exit ramp from I-580 Eastbound at Exit 24 to 35th Ave Eastbound lane blocked due to crash.,I-580 E,Oakland,Alameda,CA,94602,US,US/Pacific,KOAK,2022-09-08 09:53:00,78.0,78.0,58.0,29.83,10.0,WNW,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512507,Source2,1,2022-09-08 09:55:02,2022-09-08 10:54:37,34.394371,-118.917397,,,0.0,Crash on CA-23 A St at River St.,River St,Fillmore,Ventura,CA,93015-1945,US,US/Pacific,KCMA,2022-09-08 09:55:00,80.0,80.0,58.0,29.74,8.0,WSW,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-512517,Source2,1,2022-09-08 09:28:28,2022-09-08 10:29:04,37.134338,-120.156319,,,0.0,Crash on Santa Fe Dr at Avenue 26 1/2.,Avenue 26 1/2,Chowchilla,Madera,CA,93610-9676,US,US/Pacific,KMAE,2022-09-08 09:53:00,89.0,89.0,26.0,29.54,10.0,SE,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512520,Source2,2,2022-09-08 08:22:32,2022-09-08 09:08:26,34.21767,-119.054237,,,0.0,Fast lane blocked due to crash on US-101 Northbound at Exit 54 Ventura Blvd.,US-101 S,Camarillo,Ventura,CA,93010,US,US/Pacific,KCMA,2022-09-08 07:55:00,69.0,69.0,84.0,29.76,6.0,CALM,0.0,0.0,Haze,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512521,Source2,1,2022-09-08 09:22:34,2022-09-08 10:07:38,34.7313,-120.236099,,,0.0,Crash on US-101 Northbound at Alisos Canyon Rd.,Alisos Canyon Rd,Santa Maria,Santa Barbara,CA,93455,US,US/Pacific,KSMX,2022-09-08 09:51:00,72.0,72.0,73.0,29.55,6.0,WNW,5.0,0.0,Haze,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512522,Source2,1,2022-09-08 08:12:47,2022-09-08 09:16:46,35.165588,-119.453308,,,0.0,Crash on Harrison St at CA-119.,Taft Hwy,Taft,Kern,CA,93268,US,US/Pacific,KBFL,2022-09-08 07:54:00,85.0,85.0,34.0,29.32,8.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512523,Source2,1,2022-09-08 09:21:20,2022-09-08 10:06:15,35.205502,-120.697144,,,0.0,Crash on Ontario Rd at Castillo Rd.,El Camino Real,San Luis Obispo,San Luis Obispo,CA,93401,US,US/Pacific,KSBP,2022-09-08 08:56:00,69.0,69.0,73.0,29.61,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512524,Source2,1,2022-09-08 09:47:14,2022-09-08 10:16:54,35.368614,-118.967537,,,0.0,Crash on California Ave at Mt Vernon Ave.,E California Ave,Bakersfield,Kern,CA,93307-1920,US,US/Pacific,KBFL,2022-09-08 09:54:00,96.0,96.0,19.0,29.3,10.0,SE,5.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-512525,Source2,2,2022-09-08 08:15:03,2022-09-08 09:17:03,36.778286,-120.724457,,,0.0,Lane blocked due to crash on I-5 Southbound at Exit 379 CR-J1 Little Panoche Rd.,I-5 S,Firebaugh,Fresno,CA,93622,US,US/Pacific,KMAE,2022-09-08 07:53:00,76.0,76.0,37.0,29.55,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512526,Source2,1,2022-09-08 08:39:43,2022-09-08 09:09:31,36.923248,-119.793968,,,0.0,Crash on CA-41 Northbound at Avenue 12.,Highway 41,Madera,Madera,CA,93636,US,US/Pacific,KFAT,2022-09-08 08:53:00,85.0,85.0,37.0,29.45,10.0,SSE,10.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-512527,Source2,2,2022-09-08 08:54:45,2022-09-08 09:40:14,32.943993,-117.214279,,,0.0,#1 lane blocked due to crash on CA-56 Ted Williams Pkwy Westbound at Exit 2 Carmel Country Rd.,Ted Williams Pkwy,San Diego,San Diego,CA,92130,US,US/Pacific,KNKX,2022-09-08 08:55:00,83.0,83.0,54.0,29.35,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512528,Source2,3,2022-09-08 09:15:12,2022-09-08 09:44:51,33.928959000000006,-118.368271,,,0.0,One lane blocked due to crash on I-405 Northbound at Exits 44 45B 46 47 La Cienega Blvd.,I-405 N,Los Angeles,Los Angeles,CA,90045,US,US/Pacific,KLAX,2022-09-08 08:53:00,77.0,77.0,74.0,29.71,10.0,CALM,0.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512529,Source2,1,2022-09-08 09:26:28,2022-09-08 10:41:48,33.989342,-118.256462,,,0.0,Crash on Central Ave Southbound at Slauson Ave.,S Central Ave,Los Angeles,Los Angeles,CA,90001-1148,US,US/Pacific,KCQT,2022-09-08 09:47:00,79.0,79.0,60.0,29.67,9.0,VAR,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-512530,Source2,1,2022-09-08 09:21:01,2022-09-08 10:20:40,33.995998,-117.968071,,,0.0,Crash on Hacienda Blvd Southbound at Newton St.,S Hacienda Blvd,Hacienda Heights,Los Angeles,CA,91745-4240,US,US/Pacific,KEMT,2022-09-08 08:53:00,81.0,81.0,65.0,29.77,10.0,ENE,7.0,0.0,Fair,False,False,False,False,False,False,False,False,True,False,False,True,False,Day,Day,Day,Day
A-512531,Source2,2,2022-09-08 09:13:29,2022-09-08 09:43:09,34.004463,-118.063858,,,0.0,Crash on I-605 Southbound at Exit 16 Beverly Blvd.,Beverly Blvd,Whittier,Los Angeles,CA,90601,US,US/Pacific,KEMT,2022-09-08 08:53:00,81.0,81.0,65.0,29.77,10.0,ENE,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512532,Source2,2,2022-09-08 08:52:32,2022-09-08 09:36:58,34.024529,-117.750366,,,0.0,Crash on CA-71 Northbound after Exit 13 CA-60 .,CA-71,Pomona,Los Angeles,CA,91766,US,US/Pacific,KPOC,2022-09-08 09:47:00,82.0,82.0,58.0,28.83,7.0,SSW,9.0,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512533,Source2,1,2022-09-08 09:13:56,2022-09-08 09:43:40,34.030296,-117.689659,,,0.0,Crash on CA-60 Westbound at Exit 33 Central Ave.,CA-60 W,Chino,San Bernardino,CA,91710,US,US/Pacific,KCNO,2022-09-08 08:53:00,80.0,80.0,76.0,29.13,10.0,WSW,10.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512535,Source2,1,2022-09-08 09:47:21,2022-09-08 10:16:52,34.04945,-118.270073,,,0.0,Crash on Albany St Northbound at James M Wood Blvd.,James M Wood Blvd,Los Angeles,Los Angeles,CA,90015-1209,US,US/Pacific,KCQT,2022-09-08 09:47:00,79.0,79.0,60.0,29.67,9.0,VAR,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512537,Source2,2,2022-09-08 09:36:30,2022-09-08 10:05:57,37.319935,-121.83276399999998,,,0.0,#3 #4 lane blocked due to crash on US-101 Northbound at Exit 383 Tully Rd.,Bayshore Fwy N,San Jose,Santa Clara,CA,95122,US,US/Pacific,KRHV,2022-09-08 09:49:00,82.0,82.0,48.0,29.69,10.0,CALM,0.0,,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512538,Source2,2,2022-09-08 08:27:43,2022-09-08 09:14:22,37.35511,-122.062103,,,0.0,#2 lane blocked due to crash on CA-85 Eastbound at Exit 20 Fremont Ave.,CA-85 S,Los Altos,Santa Clara,CA,94024,US,US/Pacific,KNUQ,2022-09-08 08:35:00,75.0,75.0,65.0,29.8,7.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512539,Source2,2,2022-09-08 09:38:38,2022-09-08 10:52:23,37.372505,-121.927208,,,0.0,#1 lane blocked due to crash on CA-87 Guadalupe Pkwy Northbound at US-101 Exits 390 / CA-87 Guadalupe Pkwy Exits 9A / De La Cruz Blvd.,Charcot Ave,San Jose,Santa Clara,CA,95110,US,US/Pacific,KSJC,2022-09-08 09:53:00,83.0,83.0,47.0,29.76,10.0,CALM,0.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512540,Source2,1,2022-09-08 07:59:53,2022-09-08 09:02:00,37.56575,-120.957092,,,0.0,Lane blocked due to crash on Central Ave Northbound at Grayson Rd.,Central Ave,Ceres,Stanislaus,CA,95307-9508,US,US/Pacific,KMOD,2022-09-08 07:53:00,80.0,80.0,27.0,29.69,10.0,N,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512541,Source2,3,2022-09-08 09:13:58,2022-09-08 09:43:24,37.826923,-122.286148,,,0.0,#1 lane blocked due to crash on I-80 Westbound at Exit 8A I-880 Exit 44.,I-580 W,Emeryville,Alameda,CA,94608,US,US/Pacific,KOAK,2022-09-08 08:53:00,74.0,74.0,66.0,29.84,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512542,Source2,1,2022-09-08 09:23:30,2022-09-08 10:09:18,37.856789,-120.881157,,,0.0,Crash on CR-J14 26 Mile Rd at Dodds Rd.,Dodds Rd,Oakdale,Stanislaus,CA,95361,US,US/Pacific,KMOD,2022-09-08 09:53:00,88.0,88.0,24.0,29.68,10.0,N,9.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512543,Source2,2,2022-09-08 09:25:24,2022-09-08 11:13:51,38.25774000000001,-122.271049,,,0.0,Left lane blocked due to crash on CA-221 Napa Vallejo Hwy Northbound at Kaiser Rd.,Napa Vallejo Hwy,Napa,Napa,CA,94558,US,US/Pacific,KAPC,2022-09-08 09:54:00,79.0,79.0,52.0,29.78,10.0,SW,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-512544,Source2,1,2022-09-08 09:35:25,2022-09-08 10:51:11,38.690105,-120.787476,,,0.0,Crash on Pleasant Valley Rd Eastbound at Big Cut Rd.,Pleasant Valley Rd,Diamond Springs,El Dorado,CA,95619-9222,US,US/Pacific,KPVF,2022-09-08 09:35:00,93.0,93.0,16.0,27.28,10.0,NNE,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512545,Source3,1,2022-09-08 08:11:49,2022-09-08 09:16:38,39.201801,-121.011307,,,0.0,Crash on Brunswick Rd at Beaver Dr.,Beaver Dr,Grass Valley,Nevada,CA,95945-7887,US,US/Pacific,KGOO,2022-09-08 08:15:00,88.0,88.0,22.0,26.75,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512552,Source3,1,2022-09-08 09:57:26,2022-09-08 10:42:08,39.28529,-123.793518,,,0.0,Crash on CA-1 at Gordon Ln.,Gordon Ln,Little River,Mendocino,CA,95456,US,US/Pacific,KUKI,2022-09-08 09:56:00,83.0,83.0,31.0,29.21,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512555,Source2,2,2022-09-08 10:14:56,2022-09-08 10:44:31,32.766411,-117.110329,,,0.0,Lane blocked due to crash on CA-15 Northbound at Exit 6A Adams Ave.,Escondido Fwy,San Diego,San Diego,CA,92116,US,US/Pacific,KMYF,2022-09-08 09:53:00,86.0,86.0,49.0,29.4,10.0,NNW,7.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512558,Source2,1,2022-09-08 07:28:24,2022-09-08 08:15:13,37.433693,-120.678917,,,0.0,Crash on CR-J7 Santa Fe Dr at El Capitan Way.,W El Capitan Way,Ballico,Merced,CA,95303-9738,US,US/Pacific,KMER,2022-09-08 07:35:00,81.0,81.0,24.0,29.61,7.0,WNW,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512560,Source2,1,2022-09-08 08:17:47,2022-09-08 09:02:57,38.650925,-121.3713,,,0.0,Right hand shoulder blocked due to crash on I-80 Westbound at Exit 96 Madison Ave.,I-80,North Highlands,Sacramento,CA,95660,US,US/Pacific,KMCC,2022-09-08 08:10:00,81.0,81.0,32.0,29.69,10.0,NW,5.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512561,Source2,2,2022-09-08 08:49:40,2022-09-08 09:19:17,36.769669,-119.74948899999998,,,0.0,Crash on CA-168 Westbound at Exits 1 1C Mckinley Ave.,CA-168 W,Fresno,Fresno,CA,93703,US,US/Pacific,KFAT,2022-09-08 08:53:00,85.0,85.0,37.0,29.45,10.0,SSE,10.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512570,Source2,1,2022-09-08 08:40:12,2022-09-08 09:09:53,37.707088,-120.976532,,,0.0,Lane blocked due to crash on Coffee Rd at Vella Way.,Vella Way,Modesto,Stanislaus,CA,95357-0828,US,US/Pacific,KMOD,2022-09-08 08:53:00,82.0,82.0,27.0,29.69,10.0,NNE,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512572,Source3,1,2022-09-08 08:08:15,2022-09-08 09:11:30,38.563911,-121.350067,,,0.0,Crash on Mayhew Rd at Tech Center Dr.,Mayhew Rd,Sacramento,Sacramento,CA,95826,US,US/Pacific,KMHR,2022-09-08 08:10:00,81.0,81.0,32.0,29.69,10.0,NW,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512575,Source2,1,2022-09-08 07:48:41,2022-09-08 08:18:27,38.466991,-122.816101,,,0.0,Lane blocked due to crash on Olivet Rd at Piner Rd.,Piner Rd,Santa Rosa,Sonoma,CA,95401-3858,US,US/Pacific,KSTS,2022-09-08 07:53:00,63.0,63.0,75.0,29.69,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512576,Source2,1,2022-09-08 08:07:01,2022-09-08 09:08:00,34.289951,-119.15586100000002,,,0.0,Left hand shoulder blocked due to crash on CA-126 Westbound after Exit 5 CA-118 Wells Rd.,CA-126 W,Ventura,Ventura,CA,93004,US,US/Pacific,KOXR,2022-09-08 07:51:00,71.0,71.0,87.0,29.79,7.0,E,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512581,Source2,3,2022-09-08 07:56:49,2022-09-08 09:11:08,33.916531,-118.370331,,,0.0,#1 lane blocked due to crash on I-405 Southbound at Exit 44 El Segundo Blvd.,I-405,Hawthorne,Los Angeles,CA,90250,US,US/Pacific,KHHR,2022-09-08 07:53:00,76.0,76.0,76.0,29.79,9.0,CALM,0.0,0.0,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512584,Source2,3,2022-09-08 08:12:06,2022-09-08 09:14:30,37.96993300000001,-122.320679,,,0.0,Two lanes blocked due to crash on I-80 Westbound at Exit 19A El Portal Dr.,I-80,San Pablo,Contra Costa,CA,94806,US,US/Pacific,KCCR,2022-09-08 07:53:00,72.0,72.0,66.0,29.77,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
